"x","y","fips","abbr","full","county"
724507.90383727,-1199481.23978821,"05025","AR","Arkansas","Cleveland County"
633269.95693058,-1283550.23721592,"05027","AR","Arkansas","Columbia County"
665990.84916404,-1046971.56027799,"05029","AR","Arkansas","Conway County"
850827.59821581,-970376.52985886,"05031","AR","Arkansas","Craighead County"
519435.54508514,-1027698.51061963,"05033","AR","Arkansas","Crawford County"
878014.05468467,-1028116.71589623,"05035","AR","Arkansas","Crittenden County"
840059.84621407,-1031674.56573473,"05037","AR","Arkansas","Cross County"
676680.7513244,-1194657.23940644,"05039","AR","Arkansas","Dallas County"
806827.83077619,-1201406.55966026,"05041","AR","Arkansas","Desha County"
769863.92742055,-1228833.68420367,"05043","AR","Arkansas","Drew County"
699380.83021294,-1059637.11076087,"05045","AR","Arkansas","Faulkner County"
556332.95325932,-1028446.0731555,"05047","AR","Arkansas","Franklin County"
738295.82241444,-921765.22891064,"05049","AR","Arkansas","Fulton County"
625720.78326055,-1132419.12081394,"05051","AR","Arkansas","Garland County"
699454.08923908,-1157911.3275115,"05053","AR","Arkansas","Grant County"
850289.49037248,-939213.37593673,"05055","AR","Arkansas","Greene County"
588748.29564721,-1233515.97874173,"05057","AR","Arkansas","Hempstead County"
660025.98070387,-1161312.70711458,"05059","AR","Arkansas","Hot Spring County"
558592.6562164,-1192878.1128951,"05061","AR","Arkansas","Howard County"
761703.19942292,-991794.06830216,"05063","AR","Arkansas","Independence County"
730385.15125711,-953735.20718115,"05065","AR","Arkansas","Izard County"
796655.89951992,-1005189.28233116,"05067","AR","Arkansas","Jackson County"
739298.97814775,-1154125.78556448,"05069","AR","Arkansas","Jefferson County"
588337.77048884,-1024020.75419213,"05071","AR","Arkansas","Johnson County"
597088.23879528,-1294822.94580504,"05073","AR","Arkansas","Lafayette County"
792926.31132277,-955687.66844513,"05075","AR","Arkansas","Lawrence County"
842423.95432257,-1089505.17222955,"05077","AR","Arkansas","Lee County"
758506.03468951,-1191721.78988468,"05079","AR","Arkansas","Lincoln County"
526919.75389227,-1237163.51860482,"05081","AR","Arkansas","Little River County"
581849.64396613,-1059006.23910405,"05083","AR","Arkansas","Logan County"
742697.99387716,-1102826.67827536,"05085","AR","Arkansas","Lonoke County"
566450.14531479,-979659.59903013,"05087","AR","Arkansas","Madison County"
654848.65169067,-947432.88993931,"05089","AR","Arkansas","Marion County"
571940.70208616,-1277568.9481148,"05091","AR","Arkansas","Miller County"
893781.31607521,-965350.74094726,"05093","AR","Arkansas","Mississippi County"
803872.06407584,-1105395.60579226,"05095","AR","Arkansas","Monroe County"
582605.84409263,-1139156.38697118,"05097","AR","Arkansas","Montgomery County"
623131.74864425,-1237062.42041279,"05099","AR","Arkansas","Nevada County"
613397.95173766,-983357.21529606,"05101","AR","Arkansas","Newton County"
657616.41365878,-1233784.37623047,"05103","AR","Arkansas","Ouachita County"
646736.80879301,-1087183.31503675,"05105","AR","Arkansas","Perry County"
842809.84740118,-1120936.31276955,"05107","AR","Arkansas","Phillips County"
586801.39665697,-1184781.81103264,"05109","AR","Arkansas","Pike County"
830140.4631304,-1001547.79822665,"05111","AR","Arkansas","Poinsett County"
529336.45330591,-1144012.45676046,"05113","AR","Arkansas","Polk County"
631071.09166167,-1042863.52905,"05115","AR","Arkansas","Pope County"
774183.22741283,-1089799.23388623,"05117","AR","Arkansas","Prairie County"
707866.95689311,-1103802.06613695,"05119","AR","Arkansas","Pulaski County"
805616.22214955,-920622.48391358,"05121","AR","Arkansas","Randolph County"
859510.09082652,-1059779.60820438,"05123","AR","Arkansas","St. Francis County"
674087.34110572,-1125897.63977507,"05125","AR","Arkansas","Saline County"
550512.94457292,-1106913.35461097,"05127","AR","Arkansas","Scott County"
653922.09850758,-981339.04356782,"05129","AR","Arkansas","Searcy County"
521411.49795098,-1069203.94328787,"05131","AR","Arkansas","Sebastian County"
529920.30172908,-1198942.07524609,"05133","AR","Arkansas","Sevier County"
762615.88803995,-949802.91259375,"05135","AR","Arkansas","Sharp County"
700245.4421691,-984321.40945225,"05137","AR","Arkansas","Stone County"
677115.17681586,-1282329.24544086,"05139","AR","Arkansas","Union County"
676963.29021299,-1013899.17978261,"05141","AR","Arkansas","Van Buren County"
522782.65368167,-985993.63149843,"05143","AR","Arkansas","Washington County"
758870.35532969,-1043511.50140486,"05145","AR","Arkansas","White County"
799346.00219359,-1052243.09845079,"05147","AR","Arkansas","Woodruff County"
594807.9333899,-1091154.36088363,"05149","AR","Arkansas","Yell County"
-1891912.34231758,-570913.70787244,"06001","CA","California","Alameda County"
-1707759.07988126,-510123.13954493,"06003","CA","California","Alpine County"
-1795341.30184135,-505023.69619249,"06005","CA","California","Amador County"
-1823243.82708718,-354714.22933598,"06007","CA","California","Butte County"
-1788644.89680054,-539590.67533762,"06009","CA","California","Calaveras County"
-1889292.74092572,-394018.46023625,"06011","CA","California","Colusa County"
-1897518.05572149,-538516.36360197,"06013","CA","California","Contra Costa County"
-1950033.49578157,-65654.16095094,"06015","CA","California","Del Norte County"
-1759617.07065207,-478868.93652917,"06017","CA","California","El Dorado County"
-1673956.55172505,-692910.14992024,"06019","CA","California","Fresno County"
-1890072.3143107,-343146.83887587,"06021","CA","California","Glenn County"
-1993505.4241622,-212029.58545136,"06023","CA","California","Humboldt County"
-1451482.26126229,-1194009.58436969,"06025","CA","California","Imperial County"
-1548253.75881243,-798355.43355166,"06027","CA","California","Inyo County"
-1676684.42930451,-890874.43668261,"06029","CA","California","Kern County"
-1766692.39616054,-789624.03249629,"06031","CA","California","Kings County"
-1936277.30207121,-393825.62721038,"06033","CA","California","Lake County"
-1714715.36031579,-256636.79676719,"06035","CA","California","Lassen County"
-1657200.14940861,-997536.088387,"06037","CA","California","Los Angeles County"
-1777863.13286649,-675551.29042352,"06039","CA","California","Madera County"
-1957857.09555248,-501977.01145037,"06041","CA","California","Marin County"
-1747411.35879457,-617800.05303107,"06043","CA","California","Mariposa County"
-1970766.57719814,-310254.81220474,"06045","CA","California","Mendocino County"
-1812733.14586935,-634862.70054874,"06047","CA","California","Merced County"
-1701238.02469796,-162583.05211393,"06049","CA","California","Modoc County"
-1636402.13221679,-615664.86976158,"06051","CA","California","Mono County"
-1885852.14791957,-755265.7035288,"06053","CA","California","Monterey County"
-1916790.38338621,-455953.16715021,"06055","CA","California","Napa County"
-1791201.25260655,-410490.11623792,"06057","CA","California","Nevada County"
-1642135.23187452,-1074085.86874222,"06059","CA","California","Orange County"
-1756287.80134056,-431688.56719884,"06061","CA","California","Placer County"
-1740772.90652109,-337452.62171166,"06063","CA","California","Plumas County"
-1386315.29018722,-1125619.91791548,"06065","CA","California","Riverside County"
-1830347.59659947,-492715.94551451,"06067","CA","California","Sacramento County"
-1855059.05982652,-707481.46843071,"06069","CA","California","San Benito County"
-1482226.97897287,-976466.14490869,"06071","CA","California","San Bernardino County"
-1555370.20797344,-1178949.8656124,"06073","CA","California","San Diego County"
-1947533.15070479,-540533.02100443,"06075","CA","California","San Francisco County"
-1841132.41761609,-542722.74241251,"06077","CA","California","San Joaquin County"
-1840818.49725734,-837903.66682773,"06079","CA","California","San Luis Obispo County"
-1944728.71105102,-574956.34546681,"06081","CA","California","San Mateo County"
-1813308.05732033,-922229.79830408,"06083","CA","California","Santa Barbara County"
-1899451.05876546,-609024.40481541,"06085","CA","California","Santa Clara County"
-1937881.19538025,-619983.58574058,"06087","CA","California","Santa Cruz County"
-1829151.60929434,-219235.58727662,"06089","CA","California","Shasta County"
-1719077.25500024,-390510.20903952,"06091","CA","California","Sierra County"
-1805947.08684936,-133661.63508646,"06093","CA","California","Siskiyou County"
-1887570.98707628,-501083.88634163,"06095","CA","California","Solano County"
-1964765.44064365,-435845.94028618,"06097","CA","California","Sonoma County"
-1850841.43291912,-602197.02982157,"06099","CA","California","Stanislaus County"
-1852076.07193896,-401956.8919403,"06101","CA","California","Sutter County"
-1880077.96148057,-288214.15552242,"06103","CA","California","Tehama County"
-1920691.6274278,-204509.72464588,"06105","CA","California","Trinity County"
-1669086.21318506,-785065.40920116,"06107","CA","California","Tulare County"
-1730506.4489621,-558844.97179152,"06109","CA","California","Tuolumne County"
-1739787.97013084,-968177.02921856,"06111","CA","California","Ventura County"
-1879037.58572381,-447657.4501213,"06113","CA","California","Yolo County"
-1824162.43135632,-406683.57006021,"06115","CA","California","Yuba County"
-355867.84540531,-561243.21437449,"08001","CO","Colorado","Adams County"
-512537.65815092,-808149.76618511,"08003","CO","Colorado","Alamosa County"
-401485.13477828,-582977.3425146,"08005","CO","Colorado","Arapahoe County"
-639938.2451609,-838693.16154636,"08007","CO","Colorado","Archuleta County"
-226081.437384,-849931.97710717,"08009","CO","Colorado","Baca County"
-269748.29423518,-778213.95273191,"08011","CO","Colorado","Bent County"
-449894.34093461,-531666.04490674,"08013","CO","Colorado","Boulder County"
-434919.45631064,-550187.15517736,"08014","CO","Colorado","Broomfield County"
-536196.60572766,-673367.92978204,"08015","CO","Colorado","Chaffee County"
-222283.3502744,-682503.89935466,"08017","CO","Colorado","Cheyenne County"
-483733.29142913,-573936.36974674,"08019","CO","Colorado","Clear Creek County"
-555878.61183081,-846033.92944181,"08021","CO","Colorado","Conejos County"
-482460.67803931,-847887.44670868,"08023","CO","Colorado","Costilla County"
-331662.01373165,-734953.74057263,"08025","CO","Colorado","Crowley County"
-474118.17572098,-752264.89837987,"08027","CO","Colorado","Custer County"
-681698.62593192,-649441.29544189,"08029","CO","Colorado","Delta County"
-425215.10918448,-572822.51856051,"08031","CO","Colorado","Denver County"
-741024.41367455,-766916.1954245,"08033","CO","Colorado","Dolores County"
-423705.17399133,-617206.27897578,"08035","CO","Colorado","Douglas County"
-576049.99784241,-572236.93624005,"08037","CO","Colorado","Eagle County"
-359279.16508009,-619213.2631047,"08039","CO","Colorado","Elbert County"
-390077.9484526,-675672.13889929,"08041","CO","Colorado","El Paso County"
-475128.41136904,-709075.48759059,"08043","CO","Colorado","Fremont County"
-636182.99594254,-572000.27101644,"08045","CO","Colorado","Garfield County"
-469720.85257995,-556359.6903287,"08047","CO","Colorado","Gilpin County"
-509152.3411806,-527722.03866773,"08049","CO","Colorado","Grand County"
-616184.22318415,-671300.33354297,"08051","CO","Colorado","Gunnison County"
-644223.52252426,-754845.07811726,"08053","CO","Colorado","Hinsdale County"
-431597.20437703,-803643.05584334,"08055","CO","Colorado","Huerfano County"
-534015.24815847,-463623.18971381,"08057","CO","Colorado","Jackson County"
-447073.62979986,-570555.6373391,"08059","CO","Colorado","Jefferson County"
-229119.77574079,-725258.98531465,"08061","CO","Colorado","Kiowa County"
-227938.00617792,-629389.9242038,"08063","CO","Colorado","Kit Carson County"
-546672.85337849,-625410.80559762,"08065","CO","Colorado","Lake County"
-691464.27065856,-827391.01336449,"08067","CO","Colorado","La Plata County"
-456065.54548805,-469318.8688799,"08069","CO","Colorado","Larimer County"
-375116.44273647,-842308.77716079,"08071","CO","Colorado","Las Animas County"
-300494.971937,-687872.21730337,"08073","CO","Colorado","Lincoln County"
-263068.05942486,-470816.22270922,"08075","CO","Colorado","Logan County"
-746285.37124828,-621815.4165705,"08077","CO","Colorado","Mesa County"
-609479.16874282,-783692.99397831,"08079","CO","Colorado","Mineral County"
-693087.90712061,-453285.39829459,"08081","CO","Colorado","Moffat County"
-765390.99486838,-813462.77693392,"08083","CO","Colorado","Montezuma County"
-749243.4384325,-702853.12399617,"08085","CO","Colorado","Montrose County"
-323352.89702171,-519157.6652426,"08087","CO","Colorado","Morgan County"
-327971.36573348,-784004.1058405,"08089","CO","Colorado","Otero County"
-677380.17684136,-725071.34175589,"08091","CO","Colorado","Ouray County"
-497629.69340688,-632741.10413541,"08093","CO","Colorado","Park County"
-199301.55771622,-486869.84140299,"08095","CO","Colorado","Phillips County"
-591031.03019743,-621099.36204232,"08097","CO","Colorado","Pitkin County"
-210093.69388731,-779764.39673941,"08099","CO","Colorado","Prowers County"
-391361.59588435,-745516.66419176,"08101","CO","Colorado","Pueblo County"
-739248.74215414,-522731.44764906,"08103","CO","Colorado","Rio Blanco County"
-561580.27911392,-803612.88174391,"08105","CO","Colorado","Rio Grande County"
-592341.51291808,-476732.07108876,"08107","CO","Colorado","Routt County"
-546512.26679819,-747932.7504528,"08109","CO","Colorado","Saguache County"
-673379.93610791,-772878.88491381,"08111","CO","Colorado","San Juan County"
-709770.38517416,-743688.17980435,"08113","CO","Colorado","San Miguel County"
-197798.68092075,-455623.1896493,"08115","CO","Colorado","Sedgwick County"
-517923.07140186,-586028.04278545,"08117","CO","Colorado","Summit County"
-448466.43343161,-663592.25825576,"08119","CO","Colorado","Teller County"
-270710.65848557,-567506.719151,"08121","CO","Colorado","Washington County"
-381133.73352333,-469951.77524777,"08123","CO","Colorado","Weld County"
-207245.86964914,-563833.31486131,"08125","CO","Colorado","Yuma County"
2182618.38991315,-53199.9752918,"09001","CT","Connecticut","Fairfield County"
2210766.5471782,17650.53016276,"09003","CT","Connecticut","Hartford County"
2171214.42387697,-4010.24622126,"09005","CT","Connecticut","Litchfield County"
2229765.77099615,-6961.10665719,"09007","CT","Connecticut","Middlesex County"
2206882.64180701,-29530.61659714,"09009","CT","Connecticut","New Haven County"
2271308.76997148,2122.33069031,"09011","CT","Connecticut","New London County"
2234360.12351845,38557.39996101,"09013","CT","Connecticut","Tolland County"
2265997.01418192,42832.09864879,"09015","CT","Connecticut","Windham County"
2075896.44984907,-354336.11835873,"10001","DE","Delaware","Kent County"
2048810.93365829,-282721.9888232,"10003","DE","Delaware","New Castle County"
2101736.60686919,-388824.45269742,"10005","DE","Delaware","Sussex County"
1958221.24523484,-401371.08955224,"11001","DC","District of Columbia","District of Columbia"
1700130.93837778,-1524348.72679656,"12001","FL","Florida","Alachua County"
1699296.50714797,-1457374.5861547,"12003","FL","Florida","Baker County"
1386985.76342739,-1518959.81063283,"12005","FL","Florida","Bay County"
1717871.5108691,-1491279.07281691,"12007","FL","Florida","Bradford County"
1897791.31413486,-1674773.8802116,"12009","FL","Florida","Brevard County"
1955127.80733984,-1869085.64585219,"12011","FL","Florida","Broward County"
1421485.49356331,-1496111.4562206,"12013","FL","Florida","Calhoun County"
1803222.67833309,-1816997.05273172,"12015","FL","Florida","Charlotte County"
1707659.06056125,-1615285.87319644,"12017","FL","Florida","Citrus County"
1745745.07114362,-1479634.88747885,"12019","FL","Florida","Clay County"
1857172.66335736,-1894707.969167,"12021","FL","Florida","Collier County"
1670039.24077742,-1473450.29373366,"12023","FL","Florida","Columbia County"
1805742.17197462,-1784337.80076857,"12027","FL","Florida","DeSoto County"
1629787.33332775,-1547824.80775329,"12029","FL","Florida","Dixie County"
1759542.4552626,-1434622.43229999,"12031","FL","Florida","Duval County"
1201174.92404093,-1479395.63759452,"12033","FL","Florida","Escambia County"
1809502.17183852,-1523655.26013352,"12035","FL","Florida","Flagler County"
1463822.04748734,-1551280.02994383,"12037","FL","Florida","Franklin County"
1474010.35309635,-1469623.22568993,"12039","FL","Florida","Gadsden County"
1662097.26883817,-1528495.73282658,"12041","FL","Florida","Gilchrist County"
1879795.28814674,-1795072.83565919,"12043","FL","Florida","Glades County"
1428845.68462498,-1552681.56824041,"12045","FL","Florida","Gulf County"
1644255.27747263,-1445096.39670514,"12047","FL","Florida","Hamilton County"
1799401.32807706,-1751157.55906874,"12049","FL","Florida","Hardee County"
1887592.58744215,-1834996.32965343,"12051","FL","Florida","Hendry County"
1711840.10574173,-1648574.3552747,"12053","FL","Florida","Hernando County"
1847967.52173997,-1757445.79580794,"12055","FL","Florida","Highlands County"
1743997.36591433,-1710059.48516123,"12057","FL","Florida","Hillsborough County"
1348097.29622127,-1455603.45995149,"12059","FL","Florida","Holmes County"
1914740.63689739,-1703488.22107419,"12061","FL","Florida","Indian River County"
1417264.03157529,-1452354.31689227,"12063","FL","Florida","Jackson County"
1542119.65944385,-1476305.11908397,"12065","FL","Florida","Jefferson County"
1619395.41035535,-1509029.00469036,"12067","FL","Florida","Lafayette County"
1774936.90514737,-1606397.54583916,"12069","FL","Florida","Lake County"
1818937.03959671,-1850265.72025473,"12071","FL","Florida","Lee County"
1513917.82055542,-1467245.81438946,"12073","FL","Florida","Leon County"
1674844.90245308,-1567319.78993476,"12075","FL","Florida","Levy County"
1455684.85484276,-1514876.04617947,"12077","FL","Florida","Liberty County"
1587819.83654687,-1458213.56742766,"12079","FL","Florida","Madison County"
1760270.65526483,-1757235.13730222,"12081","FL","Florida","Manatee County"
1750284.00988928,-1566756.31666603,"12083","FL","Florida","Marion County"
1944039.44520951,-1765716.23522116,"12085","FL","Florida","Martin County"
1954401.50711753,-1920782.84597873,"12086","FL","Florida","Miami-Dade County"
1908412.31039392,-1937506.30658618,"12087","FL","Florida","Monroe County"
1733073.76662782,-1408282.73098421,"12089","FL","Florida","Nassau County"
1285887.31358222,-1488302.33068617,"12091","FL","Florida","Okaloosa County"
1892902.81246859,-1739602.69926554,"12093","FL","Florida","Okeechobee County"
1812624.90288752,-1635113.51379792,"12095","FL","Florida","Orange County"
1854989.44099966,-1667657.36006002,"12097","FL","Florida","Osceola County"
1947536.38890586,-1814243.58051906,"12099","FL","Florida","Palm Beach County"
1733716.41041786,-1673542.820527,"12101","FL","Florida","Pasco County"
1705500.47489555,-1727798.98117048,"12103","FL","Florida","Pinellas County"
1797978.05084783,-1702035.89369579,"12105","FL","Florida","Polk County"
1765578.31646599,-1513206.95822725,"12107","FL","Florida","Putnam County"
