subpop,date,amount,source_infection_stage,source_vaccination_stage,source_variant_type,source_age_strata,destination_infection_stage,destination_vaccination_stage,destination_variant_type,destination_age_strata
12000,2024-07-28,4152739.799220078,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age50to64
12000,2024-07-28,3007444.675932407,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age5to17
12000,2024-07-28,4376364.94190581,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age65to100
13000,2024-07-28,642957.7446,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age0to4
13000,2024-07-28,4509027.2898,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age18to49
13000,2024-07-28,1954882.8513000002,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age50to64
13000,2024-07-28,1810269.3779999998,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age5to17
13000,2024-07-28,1486709.7363,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age65to100
15000,2024-07-28,85610.0588,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age0to4
15000,2024-07-28,587324.8219999999,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age18to49
15000,2024-07-28,263940.64639999997,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age50to64
15000,2024-07-28,215589.45040000003,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age5to17
15000,2024-07-28,269629.02239999996,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age65to100
19000,2024-07-28,194630.03299670032,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age0to4
19000,2024-07-28,1268862.2473752624,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age18to49
19000,2024-07-28,597074.7141285872,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age50to64
19000,2024-07-28,528640.2831716829,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age5to17
19000,2024-07-28,550300.7223277673,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age65to100
16000,2024-07-28,111642.58574142585,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age0to4
16000,2024-07-28,702489.501049895,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age18to49
16000,2024-07-28,305041.895810419,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age50to64
16000,2024-07-28,319126.03739626036,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age5to17
16000,2024-07-28,279449.9800019998,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age65to100
17000,2024-07-28,752265.392439244,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age0to4
17000,2024-07-28,5394854.01980198,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age18to49
17000,2024-07-28,2477750.189018902,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age50to64
17000,2024-07-28,2086929.798379838,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age5to17
