subpop,date,amount,source_infection_stage,source_vaccination_stage,source_variant_type,source_age_strata,destination_infection_stage,destination_vaccination_stage,destination_variant_type,destination_age_strata
50000,2024-07-28,85031.43059999999,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age5to17
50000,2024-07-28,125112.32519999999,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age65to100
53000,2024-07-28,443506.00930000003,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age0to4
53000,2024-07-28,3234113.9376000003,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age18to49
53000,2024-07-28,1376423.4913,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age50to64
53000,2024-07-28,1173550.9595,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age5to17
53000,2024-07-28,1176512.6023000001,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age65to100
55000,2024-07-28,328879.7808219178,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age0to4
55000,2024-07-28,2330530.1369863013,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age18to49
55000,2024-07-28,1188715.1232876712,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age50to64
55000,2024-07-28,931054.0273972603,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age5to17
55000,2024-07-28,1011536.9315068494,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age65to100
54000,2024-07-28,94318.12950000001,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age0to4
54000,2024-07-28,705477.801,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age18to49
54000,2024-07-28,375091.752,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age50to64
54000,2024-07-28,270233.2535,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age5to17
54000,2024-07-28,372184.064,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age65to100
56000,2024-07-28,35093.8496,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age0to4
56000,2024-07-28,236592.97280000002,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age18to49
56000,2024-07-28,110568.8672,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age50to64
56000,2024-07-28,99180.7968,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age5to17
56000,2024-07-28,99587.51359999999,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age65to100
