subpop,source_infection_stage,source_vaccination_stage,source_variant_type,source_age_strata,destination_infection_stage,destination_vaccination_stage,destination_variant_type,destination_age_strata,no_perturb,date,population,amount
01000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2024-07-28,4876250,98
02000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2024-07-28,737068,15
04000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2024-07-28,7050299,141
05000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2024-07-28,2999370,60
06000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2024-07-28,39283497,786
08000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2024-07-28,5610349,112
09000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2024-07-28,3575074,72
10000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2024-07-28,957248,19
11000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2024-07-28,692683,14
12000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2024-07-28,20901636,418
13000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2024-07-28,10403847,208
15000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2024-07-28,1422094,28
16000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2024-07-28,1717750,34
17000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2024-07-28,12770631,255
18000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2024-07-28,6665703,133
19000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2024-07-28,3139508,63
20000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2024-07-28,2910652,58
21000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2024-07-28,4449052,89
22000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2024-07-28,4664362,93
23000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2024-07-28,1335492,27
24000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2024-07-28,6018848,120
25000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2024-07-28,6850553,137
26000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2024-07-28,9965265,199
27000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2024-07-28,5563378,111
28000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2024-07-28,2984418,60
29000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2024-07-28,6104910,122
30000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2024-07-28,1050649,21
31000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2024-07-28,1914571,38
32000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2024-07-28,2972382,59
33000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2024-07-28,1348124,27
34000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2024-07-28,8878503,178
35000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2024-07-28,2092454,42
36000,S,unvaccinated,AllFlu,age18to49,E,unvaccinated,AllFlu,age18to49,FALSE,2024-07-28,19572319,391
