USPS,subpop,population,age_group,prop,pop_agestrata,vaccination_stage,variant_type,age_strata
AK,02000,737068,0_4,0.0698069806980698,51452.49164916491,unvaccinated,AllFlu,age0to4
AK,02000,737068,18_49,0.4426442644264426,326258.9226922692,unvaccinated,AllFlu,age18to49
AK,02000,737068,50_64,0.1861186118611861,137182.07300730073,unvaccinated,AllFlu,age50to64
AK,02000,737068,5_17,0.1762176217621762,129884.37003700368,unvaccinated,AllFlu,age5to17
AK,02000,737068,65_100,0.12521252125212523,92290.14261426144,unvaccinated,AllFlu,age65to100
AL,01000,4876250,0_4,0.060006000600060005,292604.2604260426,unvaccinated,AllFlu,age0to4
AL,01000,4876250,18_49,0.40784078407840785,1988733.6233623363,unvaccinated,AllFlu,age18to49
AL,01000,4876250,50_64,0.1969196919691969,960229.6479647964,unvaccinated,AllFlu,age50to64
AL,01000,4876250,5_17,0.1619161916191619,789543.8293829382,unvaccinated,AllFlu,age5to17
AL,01000,4876250,65_100,0.17331733173317332,845138.6388638864,unvaccinated,AllFlu,age65to100
AR,05000,2999370,0_4,0.062493750624937505,187441.88081191882,unvaccinated,AllFlu,age0to4
AR,05000,2999370,18_49,0.40705929407059294,1220921.4348565144,unvaccinated,AllFlu,age18to49
AR,05000,2999370,50_64,0.1872812718728127,561725.8284171582,unvaccinated,AllFlu,age50to64
AR,05000,2999370,5_17,0.1695830416958304,508642.2877712229,unvaccinated,AllFlu,age5to17
AR,05000,2999370,65_100,0.17358264173582644,520638.56814318575,unvaccinated,AllFlu,age65to100
AZ,04000,7050299,0_4,0.059005900590059,416009.2419241924,unvaccinated,AllFlu,age0to4
AZ,04000,7050299,18_49,0.41634163416341635,2935333.0070007,unvaccinated,AllFlu,age18to49
AZ,04000,7050299,50_64,0.1785178517851785,1258604.2319231923,unvaccinated,AllFlu,age50to64
AZ,04000,7050299,5_17,0.16631663166316632,1172581.9818981898,unvaccinated,AllFlu,age5to17
AZ,04000,7050299,65_100,0.17981798179817982,1267770.5372537253,unvaccinated,AllFlu,age65to100
CA,06000,39283497,0_4,0.0603,2368794.8691,unvaccinated,AllFlu,age0to4
CA,06000,39283497,18_49,0.4436,17426159.2692,unvaccinated,AllFlu,age18to49
CA,06000,39283497,50_64,0.1835,7208521.6995,unvaccinated,AllFlu,age50to64
CA,06000,39283497,5_17,0.1648,6473920.305600001,unvaccinated,AllFlu,age5to17
CA,06000,39283497,65_100,0.1478,5806100.8566,unvaccinated,AllFlu,age65to100
CO,08000,5610349,0_4,0.0577,323717.1373,unvaccinated,AllFlu,age0to4
CO,08000,5610349,18_49,0.452,2535877.748,unvaccinated,AllFlu,age18to49
CO,08000,5610349,50_64,0.183,1026693.867,unvaccinated,AllFlu,age50to64
CO,08000,5610349,5_17,0.161,903266.189,unvaccinated,AllFlu,age5to17
CO,08000,5610349,65_100,0.1463,820794.0587,unvaccinated,AllFlu,age65to100
CT,09000,3575074,0_4,0.050994900509949,182310.5429457054,unvaccinated,AllFlu,age0to4
CT,09000,3575074,18_49,0.4046595340465953,1446687.7790220978,unvaccinated,AllFlu,age18to49
CT,09000,3575074,50_64,0.21447855214478553,766776.695330467,unvaccinated,AllFlu,age50to64
CT,09000,3575074,5_17,0.15308469153084694,547289.1004899511,unvaccinated,AllFlu,age5to17
CT,09000,3575074,65_100,0.17678232176782324,632009.8822117789,unvaccinated,AllFlu,age65to100
DC,11000,692683,0_4,0.0642935706429357,44535.06339366063,unvaccinated,AllFlu,age0to4
DC,11000,692683,18_49,0.5448455154484552,377405.2261773823,unvaccinated,AllFlu,age18to49
DC,11000,692683,50_64,0.1497850214978502,103753.53804619536,unvaccinated,AllFlu,age50to64
DC,11000,692683,5_17,0.11728827117288271,81243.59154084591,unvaccinated,AllFlu,age5to17
DC,11000,692683,65_100,0.1237876212378762,85745.5808419158,unvaccinated,AllFlu,age65to100
DE,10000,957248,0_4,0.0562,53797.3376,unvaccinated,AllFlu,age0to4
DE,10000,957248,18_49,0.3916,374858.31680000003,unvaccinated,AllFlu,age18to49
DE,10000,957248,50_64,0.2053,196523.01440000001,unvaccinated,AllFlu,age50to64
DE,10000,957248,5_17,0.1529,146363.21920000002,unvaccinated,AllFlu,age5to17
DE,10000,957248,65_100,0.194,185706.112,unvaccinated,AllFlu,age65to100
FL,12000,20901636,0_4,0.053094690530946904,1109765.8950104988,unvaccinated,AllFlu,age0to4
FL,12000,20901636,18_49,0.3949605039496051,8255320.687931208,unvaccinated,AllFlu,age18to49
FL,12000,20901636,50_64,0.19868013198680132,4152739.799220078,unvaccinated,AllFlu,age50to64
FL,12000,20901636,5_17,0.14388561143885611,3007444.675932407,unvaccinated,AllFlu,age5to17
FL,12000,20901636,65_100,0.20937906209379062,4376364.94190581,unvaccinated,AllFlu,age65to100
GA,13000,10403847,0_4,0.0618,642957.7446,unvaccinated,AllFlu,age0to4
GA,13000,10403847,18_49,0.4334,4509027.2898,unvaccinated,AllFlu,age18to49
GA,13000,10403847,50_64,0.1879,1954882.8513000002,unvaccinated,AllFlu,age50to64
GA,13000,10403847,5_17,0.174,1810269.3779999998,unvaccinated,AllFlu,age5to17
GA,13000,10403847,65_100,0.1429,1486709.7363,unvaccinated,AllFlu,age65to100
HI,15000,1422094,0_4,0.0602,85610.0588,unvaccinated,AllFlu,age0to4
HI,15000,1422094,18_49,0.413,587324.8219999999,unvaccinated,AllFlu,age18to49
HI,15000,1422094,50_64,0.1856,263940.64639999997,unvaccinated,AllFlu,age50to64
HI,15000,1422094,5_17,0.1516,215589.45040000003,unvaccinated,AllFlu,age5to17
HI,15000,1422094,65_100,0.1896,269629.02239999996,unvaccinated,AllFlu,age65to100
IA,19000,3139508,0_4,0.061993800619938005,194630.03299670032,unvaccinated,AllFlu,age0to4
IA,19000,3139508,18_49,0.40415958404159585,1268862.2473752624,unvaccinated,AllFlu,age18to49
IA,19000,3139508,50_64,0.19018098190180982,597074.7141285872,unvaccinated,AllFlu,age50to64
IA,19000,3139508,5_17,0.1683831616838316,528640.2831716829,unvaccinated,AllFlu,age5to17
IA,19000,3139508,65_100,0.17528247175282474,550300.7223277673,unvaccinated,AllFlu,age65to100
ID,16000,1717750,0_4,0.064993500649935,111642.58574142585,unvaccinated,AllFlu,age0to4
ID,16000,1717750,18_49,0.408959104089591,702489.501049895,unvaccinated,AllFlu,age18to49
ID,16000,1717750,50_64,0.17758224177582244,305041.895810419,unvaccinated,AllFlu,age50to64
ID,16000,1717750,5_17,0.1857814218578142,319126.03739626036,unvaccinated,AllFlu,age5to17
ID,16000,1717750,65_100,0.16268373162683733,279449.9800019998,unvaccinated,AllFlu,age65to100
IL,17000,12770631,0_4,0.05890589058905891,752265.392439244,unvaccinated,AllFlu,age0to4
IL,17000,12770631,18_49,0.42244224422442245,5394854.01980198,unvaccinated,AllFlu,age18to49
IL,17000,12770631,50_64,0.19401940194019401,2477750.189018902,unvaccinated,AllFlu,age50to64
